method,n_queries,ranking_error_l1,ranking_error_l2,mrr_l1,mrr_l2,P@1_L1,R@1_L1,Hit@1_L1,P@1_L2,R@1_L2,Hit@1_L2,nDCG@1,P@5_L1,R@5_L1,Hit@5_L1,P@5_L2,R@5_L2,Hit@5_L2,nDCG@5,P@10_L1,R@10_L1,Hit@10_L1,P@10_L2,R@10_L2,Hit@10_L2,nDCG@10,P@20_L1,R@20_L1,Hit@20_L1,P@20_L2,R@20_L2,Hit@20_L2,nDCG@20
D_tfidf_80,200,0.365,514.54,0.9443072344322344,0.3714434523809524,0.92,0.0047171397332603756,0.92,0.34,0.006107378453628456,0.34,0.8866666666666667,0.8830000000000001,0.02277944256810516,0.965,0.3350000000000001,0.030070998478766053,0.405,0.8637993936602737,0.8655000000000004,0.04490687152093857,0.985,0.3204999999999999,0.05437025265542357,0.43,0.849475246185262,0.8357499999999999,0.08662193964469483,1.0,0.3002500000000001,0.09180712881412281,0.435,0.8309952959253493
D_tfidf_160,200,0.485,514.715,0.9363625847332745,0.379252495870143,0.9,0.0046988730735453435,0.9,0.355,0.008199543081987292,0.355,0.8766666666666668,0.8790000000000007,0.023017146555115525,0.975,0.34199999999999997,0.035445258798019595,0.405,0.8617087810615913,0.8615000000000009,0.04508759693636077,0.98,0.324,0.055028124693724284,0.42,0.8458446943203574,0.8465000000000003,0.08774309079804539,0.995,0.31100000000000005,0.09454383904309963,0.435,0.8385432891164923
D_tfidf_120,200,0.335,514.93,0.9297142857142856,0.3644031746031746,0.89,0.004671659288455109,0.89,0.33,0.0077363137293091746,0.33,0.8633333333333336,0.8720000000000002,0.02289263161779196,0.98,0.3349999999999999,0.03258477118192051,0.41,0.8502189978669787,0.8575000000000008,0.04505170136728265,0.995,0.32150000000000006,0.05556255349129858,0.43,0.8386192411431472,0.8425000000000002,0.08773730534014149,1.0,0.3095000000000001,0.094368884070658,0.435,0.8328592041031468
B_medium_k10,200,0.54,514.765,0.9246512605042017,0.37932754255548373,0.885,0.004585265063773332,0.885,0.36,0.008331443345466504,0.36,0.8716666666666667,0.8650000000000003,0.022528140998773778,0.97,0.32099999999999995,0.02887013471880255,0.4,0.8442207125702474,0.8510000000000011,0.043853014667496415,0.98,0.30649999999999994,0.053362268904828446,0.41,0.8369435828050359,0.82825,0.0847803074879255,1.0,0.28650000000000014,0.08565939902130591,0.435,0.8251864752926555
B_medium_k20,200,0.47,514.495,0.9118494208494209,0.3757184684684684,0.86,0.0045647499849343545,0.86,0.345,0.009149977407457644,0.345,0.8433333333333334,0.8590000000000002,0.022691921806305384,0.98,0.335,0.03509873225994007,0.42,0.8355656437142887,0.8480000000000011,0.04449547133771336,0.995,0.3239999999999999,0.059477781502087976,0.435,0.830343583207407,0.8237499999999995,0.08564050617826478,0.995,0.30150000000000005,0.08783995894901132,0.435,0.8161787085406914
C_best_sent_n20,200,0.24,514.375,0.9246309523809524,0.3606309523809524,0.875,0.004520614867513807,0.875,0.315,0.0076351020004967966,0.315,0.8516666666666669,0.847,0.022315551341315555,0.99,0.309,0.030277317581456988,0.415,0.8280677631732811,0.8345000000000006,0.04367478820086524,1.0,0.3055,0.054330049791275786,0.44,0.8200440139098446,0.8085000000000003,0.07699901895629348,1.0,0.28625,0.08324831440281365,0.44,0.8044584391885203
C_best_sent_n15,200,0.23,514.355,0.9308809523809524,0.3703354978354978,0.885,0.004585902814125258,0.885,0.33,0.009239093424346935,0.33,0.8616666666666667,0.8380000000000001,0.022139830171355554,0.985,0.311,0.0297932337977131,0.42,0.8215451541934755,0.8250000000000006,0.04288872513239142,1.0,0.29499999999999993,0.051930824317113974,0.435,0.8115774818375815,0.7980000000000002,0.07526710990668789,1.0,0.27849999999999997,0.081907104336436,0.44,0.7965232822896422
B_medium_k5,200,0.445,515.505,0.9190958853238265,0.3438813300739822,0.875,0.004558051278683097,0.875,0.3,0.00689217649149248,0.3,0.8350000000000003,0.8360000000000001,0.02187455395562648,0.97,0.28700000000000003,0.030408197428037752,0.405,0.8167861682418838,0.8145000000000013,0.04237071061047315,0.985,0.2644999999999999,0.04948494882260545,0.41,0.8013795900331118,0.7840000000000003,0.07828978927408016,1.0,0.2389999999999999,0.07407602897708973,0.43,0.7830482213946617
B_longest_k20,200,0.74,514.825,0.9100765873015872,0.3707763888888889,0.86,0.0045794694492613,0.86,0.335,0.0050346123424978495,0.335,0.8300000000000002,0.8370000000000002,0.02253338731006297,0.97,0.3360000000000001,0.03137137310502502,0.415,0.8134061313258836,0.8145000000000002,0.0440790482885777,0.99,0.32049999999999995,0.05196950076481073,0.43,0.7959122788302458,0.7777499999999999,0.08269892732676049,0.995,0.3002500000000001,0.08217480163877905,0.43,0.7735249887424817
C_best_sent_n10,200,0.375,514.51,0.9125572344322344,0.3578727106227106,0.86,0.004481879680080376,0.86,0.32,0.0073029805567083085,0.32,0.8333333333333333,0.829,0.021622198638202007,0.975,0.304,0.029345605250923987,0.41,0.8074016709889089,0.8090000000000006,0.04046586668707021,0.995,0.2865,0.04868067062127441,0.43,0.7941117637558385,0.7685000000000002,0.06898905608546722,1.0,0.25500000000000006,0.07329268010322969,0.44,0.7687283161737991
E_dense_extractive,200,0.375,514.93,0.910810606060606,0.3482232795939693,0.85,0.0042296415868413595,0.85,0.315,0.007723148329694484,0.315,0.8299999999999998,0.8360000000000005,0.020445596213210245,0.985,0.2769999999999999,0.024560209282478068,0.38,0.810547703619772,0.7945000000000007,0.0359157075160932,0.995,0.26049999999999995,0.03972880264459732,0.405,0.787271206270608,0.75825,0.06143954600638784,0.995,0.23775,0.05924404335837727,0.425,0.7628563636448068
