method,model,n_queries,ranking_error_l1,ranking_error_l2,mrr_l1,mrr_l2,P@1_L1,R@1_L1,Hit@1_L1,P@1_L2,R@1_L2,Hit@1_L2,nDCG@1,P@5_L1,R@5_L1,Hit@5_L1,P@5_L2,R@5_L2,Hit@5_L2,nDCG@5,P@10_L1,R@10_L1,Hit@10_L1,P@10_L2,R@10_L2,Hit@10_L2,nDCG@10,P@20_L1,R@20_L1,Hit@20_L1,P@20_L2,R@20_L2,Hit@20_L2,nDCG@20
B_medium_k20,dense_mpnet,917,1.0796074154852782,507.340239912759,0.9220027620536745,0.354323318421393,0.8822246455834242,0.004205796968523456,0.8822246455834242,0.31842966194111233,0.005842770645417554,0.31842966194111233,0.8509632860777906,0.8735005452562691,0.0207464828118323,0.9661941112322792,0.3131952017448201,0.025797598719296294,0.3925845147219193,0.8454538107566834,0.8619411123227884,0.040294267300173915,0.9792802617230099,0.30588876772082874,0.04863593114939864,0.4198473282442748,0.8393207483891216,0.839367502726282,0.0743089302982269,0.9869138495092693,0.292093784078517,0.07827175873415954,0.430752453653217,0.8291863952848476
B_medium_k10,dense_mpnet,917,1.0806979280261724,507.3391494002181,0.9214575057832274,0.3543228413249626,0.88113413304253,0.004203562311677361,0.88113413304253,0.31842966194111233,0.005842770645417554,0.31842966194111233,0.8498727735368964,0.8732824427480901,0.020739293531901723,0.9661941112322792,0.3131952017448201,0.0257695340583174,0.3925845147219193,0.8450905293299652,0.8613958560523414,0.0402765342168146,0.9792802617230099,0.3057797164667393,0.04860385725113704,0.4198473282442748,0.8387860537443004,0.8392584514721926,0.07435179507954744,0.9869138495092693,0.292093784078517,0.07838581744379389,0.430752453653217,0.8289574036340552
D_tfidf_160,hybrid_alpha0.5,917,0.8211559432933478,505.6619411123228,0.9218925143416693,0.3702123346001514,0.8789531079607416,0.0042581311901449,0.8789531079607416,0.33587786259541985,0.0069661678611534555,0.33587786259541985,0.8527808069792806,0.8669574700109043,0.0209735473360224,0.9727371864776445,0.3293347873500545,0.03193886991258748,0.4133042529989095,0.8426644841518015,0.8538713195201715,0.04084344028877663,0.9836423118865867,0.3164667393675029,0.05339316750468529,0.42639040348964014,0.8348138464168481,0.8358778625954205,0.07884113373746976,0.9912758996728462,0.30305343511450417,0.089102696133217,0.4372955288985823,0.8256764145966965
D_tfidf_120,hybrid_alpha0.5,917,0.8058887677208287,505.4133042529989,0.9255827877621573,0.3713756583439959,0.8876772082878953,0.004348166235331106,0.8876772082878953,0.34242093784078514,0.0067718769161745195,0.34242093784078514,0.8578698655034539,0.8604143947655385,0.02076747544277417,0.9760087241003271,0.3256270447110143,0.031186346264406604,0.4089422028353326,0.8387013627924603,0.8535441657579027,0.040870811720041984,0.9858233369683751,0.3146128680479825,0.05282342836601082,0.42639040348964014,0.8332254859088458,0.8356052344601965,0.07891310157605567,0.9945474372955289,0.3010359869138499,0.08885988989219669,0.43838604143947657,0.8249384576636815
D_tfidf_80,hybrid_alpha0.5,917,0.7175572519083969,505.6772082878953,0.9212544417869436,0.367630184578918,0.8756815703380589,0.004250011718495893,0.8756815703380589,0.33478735005452565,0.006705761153654272,0.33478735005452565,0.844420210832425,0.8654307524536516,0.02077621488840339,0.9694656488549618,0.32431842966194113,0.029815886197920256,0.40567066521264994,0.8390872001982849,0.8534351145038132,0.04095729241388029,0.9847328244274809,0.31363140676117796,0.054548995139056485,0.42529989094874593,0.8319656427705008,0.8298800436205026,0.07853346493501373,0.9923664122137404,0.29809160305343513,0.08738002825034398,0.4362050163576881,0.8202963214589557
D_tfidf_120,dense_rerank_top50,917,0.7415485278080698,28.691384950926935,0.9103293188782876,0.3621605908983619,0.8625954198473282,0.004151038045925309,0.8625954198473282,0.33042529989094876,0.007116175047958702,0.33042529989094876,0.8364231188658673,0.8610687022900755,0.020331943029422074,0.9694656488549618,0.31995637949836403,0.028660450790116664,0.40458015267175573,0.835789351198427,0.8509269356597567,0.03990344731428443,0.9814612868047983,0.31025081788440556,0.04983220494584889,0.4187568157033806,0.8301679538295009,0.834242093784079,0.07655311740982022,0.9923664122137404,0.29580152671755733,0.08104650929378943,0.4318429661941112,0.8233187182790039
D_tfidf_120,dense_allMiniLM,917,0.9389312977099237,506.78625954198475,0.9164470395055468,0.3598623882964164,0.8778625954198473,0.004242776935041088,0.8778625954198473,0.33151581243184297,0.006327825223942677,0.33151581243184297,0.8502362777171942,0.8639040348963999,0.020378827534847533,0.965103598691385,0.31363140676117773,0.027268268483933465,0.39912758996728465,0.8383626335858316,0.8495092693565957,0.03983813452764061,0.9738276990185387,0.30130861504907314,0.04600742957065637,0.4143947655398037,0.8292056075369877,0.8284078516902953,0.07559226831495897,0.9858233369683751,0.29127589967284634,0.08060277030006184,0.42748091603053434,0.8197724888650981
D_tfidf_160,dense_allMiniLM,917,0.9672846237731734,506.52017448200655,0.9170064531487072,0.3616753327553515,0.8789531079607416,0.0042336362646251905,0.8789531079607416,0.33151581243184297,0.007312065760834537,0.33151581243184297,0.8542348237004731,0.859760087241003,0.02034434435501133,0.9618320610687023,0.31232279171210475,0.02638163866768508,0.3969465648854962,0.8365669647277625,0.8458015267175539,0.03956626001569364,0.9749182115594329,0.30272628135223556,0.04581352388069611,0.4133042529989095,0.8277502261995054,0.8266630316248648,0.07465132890408255,0.9880043620501636,0.2911668484187569,0.07801887958283234,0.430752453653217,0.8185658435116401
D_tfidf_160,dense_rerank_top50,917,0.7699018538713195,28.761177753544168,0.9126090826117903,0.357111152122169,0.8647764449291166,0.004127802082009033,0.8647764449291166,0.3227917121046892,0.006727523743454787,0.3227917121046892,0.8393311523082517,0.8604143947655385,0.02023896345395195,0.9661941112322792,0.31450381679389305,0.027855053120692353,0.4034896401308615,0.8346144077121251,0.8479825517993426,0.03968226446672322,0.9792802617230099,0.30621592148309684,0.04776739484867332,0.4154852780806979,0.8272744446618251,0.828625954198474,0.07517148467371079,0.9869138495092693,0.29487459105779734,0.07980116783279999,0.42857142857142855,0.8190360685100208
D_tfidf_80,dense_allMiniLM,917,0.658669574700109,506.3675027262814,0.9202334805585866,0.35836801121235484,0.8822246455834242,0.004194611316195119,0.8822246455834242,0.3271537622682661,0.006926148477865071,0.3271537622682661,0.8545983278807712,0.8595419847328238,0.020174146406514305,0.9672846237731734,0.3079607415485277,0.025145477900310013,0.40130861504907306,0.8348641416479469,0.8458015267175536,0.03950966156928637,0.9836423118865867,0.2995637949836424,0.046355344528773205,0.42311886586695746,0.8268648437411255,0.821646673936752,0.07418322279752566,0.990185387131952,0.2868047982551797,0.07861868210467432,0.4296619411123228,0.8146054842181225
